model,funnel_stage,attributed_conversions,conversion_credit_share,attributed_revenue,spend,attributed_roas,credit_change_vs_last_touch_pp
First Touch,Bottom Funnel,1715.0,0.653084539223153,42195.24999999997,9886.106640000002,4.2681362377049945,-1.8659558263518727
First Touch,Mid Funnel,469.0,0.1785986290936786,11033.17,4682.408493999999,2.3563023205125773,-1.9801980198019795
First Touch,Upper Funnel,442.0,0.1683168316831683,10775.69,7534.434311999999,1.430192308245052,3.8461538461538463
Last Touch,Bottom Funnel,1764.0,0.6717440974866717,42200.37999999996,9886.106640000002,4.268655147745802,0.0
Last Touch,Mid Funnel,521.0,0.1984006092916984,13319.160000000002,4682.408493999999,2.844510472989929,0.0
Last Touch,Upper Funnel,341.0,0.1298552932216298,8484.57,7534.434311999999,1.1261057763137878,0.0
Linear,Bottom Funnel,1734.8833333333323,0.6606562579334854,42178.824499999966,9886.106640000002,4.266474764629886,-1.1087839553186374
Linear,Mid Funnel,496.0999999999995,0.1889185072353387,12068.15933333334,4682.408493999999,2.5773401335653183,-0.948210205635966
Linear,Upper Funnel,395.01666666666745,0.1504252348311757,9757.126166666663,7534.434311999999,1.2950044771279792,2.056994160954584
Markov,Bottom Funnel,1758.5002069262262,0.6696497360724396,42860.33536905139,9886.106640000002,4.335410989361064,-0.2094361414232137
Markov,Mid Funnel,520.2725602447808,0.1981235949142348,12680.72436248613,4682.408493999999,2.708162771089944,-0.0277014377463524
Markov,Upper Funnel,347.2272328289929,0.1322266690133255,8463.05026846248,7534.434311999999,1.1232495922067416,0.237137579169569
Shapley,Bottom Funnel,1199.2606403476816,0.4566872202390257,29229.859079772832,9886.106640000002,2.956660305636034,-21.5056877247646
Shapley,Mid Funnel,425.6043376683397,0.1620732435903807,10373.35371081552,4682.408493999999,2.215388453209038,-3.6327365701317698
Shapley,Upper Funnel,1001.1350219839788,0.3812395361705936,24400.89720941165,7534.434311999999,3.238583840401747,25.13842429489637
Time Decay,Bottom Funnel,1743.663129191134,0.663999668389617,42175.40929484953,9886.106640000002,4.266129309611567,-0.774442909705475
Time Decay,Mid Funnel,504.1864739116713,0.1919978956251604,12473.707116763691,4682.408493999999,2.663951069785432,-0.640271366653794
Time Decay,Upper Funnel,378.1503968971946,0.1440024359852226,9354.993588386766,7534.434311999999,1.2416318466652745,1.4147142763592746
