model,channel,funnel_stage,attributed_conversions,conversion_credit_share,attributed_revenue,spend,attributed_roas
First Touch,Display | category_page,Upper Funnel,80.0,0.0304645849200304,2016.6400000000003,818.831072,2.4628278883877046
First Touch,Display | offsite_display,Upper Funnel,76.0,0.0289413556740289,1917.1600000000003,896.197245,2.1392165739139277
First Touch,Display | product_page,Upper Funnel,66.0,0.0251332825590251,1862.71,828.403516,2.248553952298773
First Touch,Sponsored Brand | category_page,Mid Funnel,156.0,0.0594059405940594,3384.92,952.911234,3.552188156908642
First Touch,Sponsored Brand | search_carousel,Mid Funnel,161.0,0.0613099771515613,3547.51,1110.511292,3.1944835010286416
First Touch,Sponsored Brand | search_top,Mid Funnel,152.0,0.0578827113480578,4100.740000000001,2618.985968,1.565773948430716
First Touch,Sponsored Product | product_page,Bottom Funnel,570.0,0.217060167555217,13658.87999999998,1740.874588,7.845987352651264
First Touch,Sponsored Product | search_carousel,Bottom Funnel,586.0,0.2231530845392231,14607.209999999995,3508.55202,4.163315782902371
First Touch,Sponsored Product | search_top,Bottom Funnel,559.0,0.2128712871287128,13929.159999999996,4636.680032000001,3.004123619457896
First Touch,Video | category_page,Upper Funnel,66.0,0.0251332825590251,1359.8500000000004,1613.654792,0.842714319532105
First Touch,Video | offsite_display,Upper Funnel,84.0,0.0319878141660319,1997.8199999999997,1938.499628,1.0306011779126325
First Touch,Video | product_page,Upper Funnel,70.0,0.0266565118050266,1621.510000000001,1438.848059,1.1269501250374907
Last Touch,Display | category_page,Upper Funnel,29.0,0.011043412033511,658.9599999999999,818.831072,0.8047569548020278
Last Touch,Display | offsite_display,Upper Funnel,49.0,0.0186595582635186,1494.0500000000004,896.197245,1.66709952338673
Last Touch,Display | product_page,Upper Funnel,62.0,0.0236100533130236,1459.57,828.403516,1.7619070559328722
Last Touch,Sponsored Brand | category_page,Mid Funnel,110.0,0.0418888042650418,3019.1800000000007,952.911234,3.1683748625005723
Last Touch,Sponsored Brand | search_carousel,Mid Funnel,116.0,0.0441736481340441,2714.62,1110.511292,2.4444776199538185
Last Touch,Sponsored Brand | search_top,Mid Funnel,295.0,0.1123381568926123,7585.360000000001,2618.985968,2.8962965409824606
Last Touch,Sponsored Product | product_page,Bottom Funnel,305.0,0.1161462300076161,7054.489999999997,1740.874588,4.052267778866559
Last Touch,Sponsored Product | search_carousel,Bottom Funnel,697.0,0.2654226961157654,16738.94999999999,3508.55202,4.770899762803001
Last Touch,Sponsored Product | search_top,Bottom Funnel,762.0,0.2901751713632902,18406.939999999977,4636.680032000001,3.969853402211208
Last Touch,Video | category_page,Upper Funnel,65.0,0.0247524752475247,1686.4699999999996,1613.654792,1.0451244022953328
Last Touch,Video | offsite_display,Upper Funnel,76.0,0.0289413556740289,1761.2400000000005,1938.499628,0.908558337881714
Last Touch,Video | product_page,Upper Funnel,60.0,0.0228484386900228,1424.28,1438.848059,0.9898751929302912
Linear,Display | category_page,Upper Funnel,53.96666666666674,0.0205509012439705,1412.2525,818.831072,1.724717769381375
Linear,Display | offsite_display,Upper Funnel,63.03333333333343,0.024003554201574,1729.5309999999995,896.197245,1.9298552965312896
Linear,Display | product_page,Upper Funnel,65.4500000000001,0.0249238385376999,1685.2211666666658,828.403516,2.0342998721249583
Linear,Sponsored Brand | category_page,Mid Funnel,132.03333333333356,0.0502792586951003,3202.4165000000007,952.911234,3.36066612055494
Linear,Sponsored Brand | search_carousel,Mid Funnel,137.56666666666678,0.0523863924854024,3226.1910000000007,1110.511292,2.9051402027526625
Linear,Sponsored Brand | search_top,Mid Funnel,226.4999999999992,0.0862528560548359,5639.551833333339,2618.985968,2.1533341156615693
Linear,Sponsored Product | product_page,Bottom Funnel,439.3666666666624,0.1673140390962156,10464.655333333358,1740.874588,6.011148307561691
Linear,Sponsored Product | search_carousel,Bottom Funnel,636.0000000000005,0.2421934501142423,15422.847166666626,3508.55202,4.395786945369738
Linear,Sponsored Product | search_top,Bottom Funnel,659.5166666666696,0.2511487687230272,16291.321999999984,4636.680032000001,3.5135747749608743
Linear,Video | category_page,Upper Funnel,65.55000000000014,0.02496191926885,1513.3473333333318,1613.654792,0.9378383411594836
Linear,Video | offsite_display,Upper Funnel,80.78333333333354,0.0307628839807058,1891.0615,1938.499628,0.9755284306920694
Linear,Video | product_page,Upper Funnel,66.23333333333348,0.0252221375983752,1525.7126666666672,1438.848059,1.060370938490224
Time Decay,Display | category_page,Upper Funnel,47.03766881823535,0.0179122882019175,1208.7059599584709,818.831072,1.4761359226466566
Time Decay,Display | offsite_display,Upper Funnel,58.18827208799903,0.0221585194546835,1639.015604286778,896.197245,1.8288558834911148
Time Decay,Display | product_page,Upper Funnel,64.47891877592724,0.0245540437075122,1608.1211652506129,828.403516,1.9412292852347248
Time Decay,Sponsored Brand | category_page,Mid Funnel,126.19522166771982,0.0480560630874789,3171.437053514213,952.911234,3.3281558033496883
Time Decay,Sponsored Brand | search_carousel,Mid Funnel,130.52801168239202,0.049706021204262,3096.516617562872,1110.511292,2.7883702217796738
Time Decay,Sponsored Brand | search_top,Mid Funnel,247.46324056155947,0.0942358113334194,6205.753445686606,2618.985968,2.369525274862643
Time Decay,Sponsored Product | product_page,Bottom Funnel,401.9081043715968,0.1530495446959622,9523.600647613608,1740.874588,5.47058398879541
Time Decay,Sponsored Product | search_carousel,Bottom Funnel,653.0741493201381,0.248695411013,15740.227568994793,3508.55202,4.486246029493042
Time Decay,Sponsored Product | search_top,Bottom Funnel,688.6808754993992,0.2622547126806547,16911.58107824113,4636.680032000001,3.647347015866099
Time Decay,Video | category_page,Upper Funnel,65.77157335401922,0.0250462960220941,1587.360178099735,1613.654792,0.983704932411427
Time Decay,Video | offsite_display,Upper Funnel,78.70792117026045,0.0299725518546307,1839.3551534129017,1938.499628,0.948855045853484
Time Decay,Video | product_page,Upper Funnel,63.96604269075327,0.0243587367443843,1472.4355273782678,1438.848059,1.0233433045054188
Markov,Display | category_page,Upper Funnel,32.74398889450852,0.0124691503787161,798.076872445888,818.831072,0.9746538690777578
Markov,Display | offsite_display,Upper Funnel,51.064635865458754,0.0194457866966712,1244.6102707702846,896.197245,1.388768240154861
Markov,Display | product_page,Upper Funnel,62.27368197924983,0.0237142734117478,1517.8109640155842,828.403516,1.83221212211222
Markov,Sponsored Brand | category_page,Mid Funnel,114.89648316835112,0.0437534208561885,2800.3987613557856,952.911234,2.9387823980211207
Markov,Sponsored Brand | search_carousel,Mid Funnel,120.88806825322877,0.0460350602639865,2946.433060992826,1110.511292,2.653222062862938
Markov,Sponsored Brand | search_top,Mid Funnel,284.4880088232009,0.1083351137940597,6933.892540137518,2618.985968,2.647548564543328
Markov,Sponsored Product | product_page,Bottom Funnel,331.49309981482463,0.1262349961214107,8079.558577604347,1740.874588,4.6410916864991005
Markov,Sponsored Product | search_carousel,Bottom Funnel,683.6283165820324,0.260330661303135,16662.232282418594,3508.55202,4.749033842861077
Markov,Sponsored Product | search_top,Bottom Funnel,743.3787905293691,0.2830840786478938,18118.54450902845,4636.680032000001,3.907654697754319
Markov,Video | category_page,Upper Funnel,64.7661558500816,0.0246634256854842,1578.5606105505583,1613.654792,0.9782517415599498
Markov,Video | offsite_display,Upper Funnel,75.86640145754114,0.0288904803722548,1849.1094836986383,1938.499628,0.9538869427622292
Markov,Video | product_page,Upper Funnel,60.51236878215304,0.0230435524684512,1474.8820669815268,1438.848059,1.0250436505481826
Shapley,Display | category_page,Upper Funnel,0.0,0.0,0.0,818.831072,0.0
Shapley,Display | offsite_display,Upper Funnel,0.0,0.0,0.0,896.197245,0.0
Shapley,Display | product_page,Upper Funnel,546.8368915676374,0.2082394865070972,13328.18300074377,828.403516,16.088998589841534
Shapley,Sponsored Brand | category_page,Mid Funnel,151.7258194778584,0.0577783014005553,3698.0487584543007,952.911234,3.8807903889758326
Shapley,Sponsored Brand | search_carousel,Mid Funnel,155.91561640300358,0.0593738067033524,3800.1676553601087,1110.511292,3.421998211757138
Shapley,Sponsored Brand | search_top,Mid Funnel,117.96290178747772,0.0449211354864728,2875.1372970011125,2618.985968,1.0978055370020647
Shapley,Sponsored Product | product_page,Bottom Funnel,412.26327884586055,0.1569928708476239,10048.18897494712,1740.874588,5.771920070641595
Shapley,Sponsored Product | search_carousel,Bottom Funnel,420.41227077928266,0.1600960665572287,10246.80625449619,3508.55202,2.9205228242550585
Shapley,Sponsored Product | search_top,Bottom Funnel,366.5850907225383,0.139598282834173,8934.86385032952,4636.680032000001,1.926995994691384
Shapley,Video | category_page,Upper Funnel,0.0,0.0,0.0,1613.654792,0.0
Shapley,Video | offsite_display,Upper Funnel,454.2981304163415,0.1730000496634963,11072.714208667883,1938.499628,5.712002235508236
Shapley,Video | product_page,Upper Funnel,0.0,0.0,0.0,1438.848059,0.0
