campaign_id,campaign_name,campaign_type,daily_budget,target_acos,impressions,clicks,cart_adds,purchases,spend,ctr,cvr,cpc,revenue,roas,acos
CAM00004,Ross Essentials | Video | Feb 2025,Video,8926.22,0.492,192767,665,80,23,652.497271,0.003449760591802539,0.03458646616541353,0.9811989037593984,738.62,1.1319894087342475,0.8834004914570415
CAM00010,Guzman Labs | Video | Jul 2024,Video,7324.9,0.498,157144,579,54,20,542.9158349999999,0.003684518658046123,0.03454231433506045,0.9376784715025905,613.27,1.1295857671935468,0.8852802762241752
CAM00131,Garcia-James Consumer | Video | Sep 2024,Video,6547.84,0.504,140952,516,66,25,487.74970500000006,0.003660820704920824,0.04844961240310078,0.9452513662790699,388.15999999999997,0.7958180107971565,1.2565686958985989
CAM00039,Guzman Labs | Sponsored Brand | Oct 2024,Sponsored Brand,7362.69,0.329,158229,1084,136,53,474.47494099999994,0.006850830125956683,0.048892988929889296,0.4377075101476014,1771.18,3.732926329612,0.26788634751973256
CAM00295,Hoffman Essentials | Sponsored Brand | Aug 2024,Sponsored Brand,7477.2,0.263,160612,1035,126,52,466.82525200000003,0.006444101312479765,0.050241545893719805,0.4510388908212561,1679.15,3.5969562332073672,0.27801283506536045
CAM00149,Harris Foods | Sponsored Product | Jun 2024,Sponsored Product,8698.07,0.255,187021,1500,205,67,451.084005,0.008020489677629784,0.04466666666666667,0.30072266999999997,642.11,1.4234820851162746,0.7025026942424195
CAM00261,Wilkerson-Day Consumer | Video | May 2025,Video,6042.87,0.478,129783,479,47,22,449.4181940000001,0.0036907761417134754,0.04592901878914405,0.9382425762004177,852.11,1.8960291580896698,0.5274180493128823
CAM00063,Rodriguez-Graham Naturals | Sponsored Brand | Apr 2024,Sponsored Brand,6469.14,0.299,138833,876,102,46,400.144533,0.006309739038989289,0.05251141552511415,0.45678599657534247,2207.91,5.517781246307818,0.18123226626085304
CAM00219,Ross Essentials | Sponsored Product | Jan 2024,Sponsored Product,7837.18,0.238,168159,1301,189,72,397.1440879999999,0.007736725361116563,0.05534204458109147,0.3052606364335126,1639.53,4.128300154879809,0.24223044897013163
CAM00022,Harris Foods | Sponsored Brand | Jan 2024,Sponsored Brand,6114.27,0.269,131649,914,139,54,396.49484200000006,0.0069427037045476985,0.05908096280087528,0.433801796498906,660.47,1.6657719849984831,0.6003222583917514
CAM00023,Garcia-James Consumer | Sponsored Product | Dec 2024,Sponsored Product,7356.62,0.213,158918,1255,183,76,379.88966500000004,0.007897154507355996,0.06055776892430279,0.30270092828685263,1032.6,2.718157652433108,0.36789624733681975
CAM00013,Hoffman Essentials | Sponsored Product | Jun 2024,Sponsored Product,7313.42,0.246,156813,1213,166,61,370.0226409999999,0.007735328065912902,0.05028854080791426,0.30504751937345415,2211.21,5.975877567989145,0.1673394390401635
CAM00112,Garcia-James Consumer | Sponsored Product | Sep 2024,Sponsored Product,6695.7,0.227,144317,1196,155,57,353.03621000000004,0.00828731195909006,0.047658862876254184,0.29518077759197325,639.4,1.811145661234013,0.5521367062871443
CAM00060,Wilkerson-Day Consumer | Video | Dec 2024,Video,4435.56,0.434,94622,323,34,14,318.23657,0.003413582464965864,0.043343653250773995,0.9852525386996903,369.76,1.1619029202080704,0.8606571019039376
CAM00222,Harris Foods | Sponsored Product | Apr 2024,Sponsored Product,5858.41,0.153,126296,997,132,47,301.973915,0.00789415341736872,0.04714142427281846,0.3028825626880642,364.87,1.208283172405802,0.8276205634883657
CAM00093,Garcia-James Consumer | Video | Apr 2025,Video,3993.86,0.447,85768,305,28,10,293.666875,0.003556104840966328,0.03278688524590164,0.9628422131147542,76.43,0.2602608823347884,3.8422985084390944
CAM00054,Flowers Foods | Sponsored Product | Apr 2025,Sponsored Product,5721.36,0.277,122784,945,145,53,288.249706,0.007696442533229085,0.056084656084656084,0.30502614391534394,916.71,3.1802634345097998,0.31443936032114844
CAM00076,Guzman Labs | Sponsored Product | Mar 2025,Sponsored Product,5550.86,0.202,119351,947,126,51,284.48150699999997,0.007934579517557456,0.05385427666314678,0.30040285850052795,2273.4,7.9913806137142,0.12513482317234095
CAM00140,Rodriguez-Graham Naturals | Sponsored Product | Sep 2024,Sponsored Product,5285.69,0.233,113996,886,129,52,270.07207800000003,0.007772202533422225,0.05869074492099323,0.3048217584650113,2091.15,7.7429329810244205,0.12915002654042035
CAM00058,Flowers Foods | Sponsored Product | Mar 2024,Sponsored Product,5038.88,0.277,108702,831,109,44,255.14472899999998,0.007644753546392891,0.052948255114320095,0.30703336823104693,798.22,3.1284988842548267,0.31964211495577655
CAM00091,Ross Essentials | Sponsored Product | Sep 2024,Sponsored Product,4716.38,0.211,101743,829,105,41,247.4586999999999,0.00814798069646069,0.04945717732207479,0.29850265379975865,1039.03,4.198801658620208,0.2381631906682193
CAM00180,Garcia-James Consumer | Video | May 2025,Video,2806.92,0.538,60272,237,22,4,213.97986999999998,0.003932174143881072,0.016877637130801686,0.9028686497890295,53.55,0.25025718540720676,3.995889262371615
CAM00152,Guzman Labs | Sponsored Product | Apr 2025,Sponsored Product,4181.03,0.14,89689,711,101,38,213.40579499999996,0.007927393548818695,0.053445850914205346,0.3001487974683544,1438.18,6.739179692847611,0.1483860121820634
CAM00287,Flowers Foods | Sponsored Product | Apr 2025,Sponsored Product,3997.59,0.208,85834,676,95,40,207.030162,0.007875666985110795,0.05917159763313609,0.30625763609467455,598.75,2.8920906703439666,0.3457706254697286
CAM00294,Rodriguez-Graham Naturals | Display | Jan 2024,Display,4577.93,0.397,98074,298,27,7,207.013147,0.003038521932418378,0.02348993288590604,0.6946749899328859,158.21,0.7642509777410418,1.3084706845332152
CAM00045,Guzman Labs | Sponsored Product | Sep 2024,Sponsored Product,4293.8,0.223,91785,643,75,27,203.98704100000003,0.007005501988342322,0.041990668740279936,0.31724267651632976,1029.39,5.046349978673399,0.19816302956119644
CAM00072,Ross Essentials | Sponsored Brand | May 2025,Sponsored Brand,3193.15,0.289,68594,450,63,29,201.12140599999995,0.006560340554567455,0.06444444444444444,0.4469364577777777,638.25,3.1734563351252634,0.3151138362710536
CAM00171,Harris Foods | Sponsored Product | May 2025,Sponsored Product,4033.77,0.173,86050,656,95,43,200.79576300000002,0.007623474723997676,0.06554878048780488,0.30609110213414636,466.78000000000003,2.3246506451433437,0.4301721646171644
CAM00048,Smith-Bowen Essentials | Sponsored Product | Jan 2025,Sponsored Product,3651.07,0.24,78377,632,92,28,188.98169900000005,0.008063590083825612,0.04430379746835443,0.2990216756329115,639.8100000000001,3.38556592191501,0.2953715931292103
CAM00146,Harris Foods | Sponsored Product | Nov 2024,Sponsored Product,3739.51,0.194,80006,613,75,32,187.778478,0.00766192535559833,0.052202283849918436,0.306327044045677,292.27,1.5564616515850127,0.6424829027953605
CAM00037,Guzman Labs | Video | Mar 2024,Video,2397.04,0.369,51709,208,27,8,185.362795,0.004022510588098783,0.038461538461538464,0.8911672836538462,368.31,1.9869683126001634,0.5032792891857403
CAM00075,Ferrell Foods | Video | Feb 2024,Video,2993.45,0.505,57240,220,22,10,181.689929,0.003843466107617051,0.045454545454545456,0.8258633136363637,93.88,0.5167044784303922,1.9353422347677889
CAM00160,Harris Foods | Sponsored Brand | May 2025,Sponsored Brand,2824.94,0.372,60708,389,45,17,175.440384,0.006407722211240694,0.043701799485861184,0.45100355784061696,163.92000000000002,0.9343344802528477,1.0702805270863835
CAM00164,Wilkerson-Day Consumer | Sponsored Product | May 2024,Sponsored Product,3246.47,0.188,70296,586,75,26,172.07515999999998,0.00833617844543075,0.04436860068259386,0.29364361774744024,914.32,5.313492081018551,0.18820014874442206
CAM00080,Garcia-James Consumer | Sponsored Brand | Jan 2024,Sponsored Brand,2763.66,0.342,59418,374,49,20,170.049224,0.006294388905718806,0.053475935828877004,0.4546770695187166,375.17,2.206243528638508,0.4532591198656609
