customer_id,loyalty_tier,region,recency_days,frequency,monetary,segment
CUS0000001,Bronze,South,9999,0,0.0,Churned
CUS0000002,Bronze,West,9999,0,0.0,Churned
CUS0000003,Bronze,West,9999,0,0.0,Churned
CUS0000004,Bronze,Midwest,9999,0,0.0,Churned
CUS0000005,Gold,Northeast,9999,0,0.0,Churned
CUS0000006,Bronze,South,9999,0,0.0,Churned
CUS0000007,Gold,Northeast,9999,0,0.0,Churned
CUS0000008,Bronze,South,9999,0,0.0,Churned
CUS0000009,Bronze,South,9999,0,0.0,Churned
CUS0000010,Bronze,South,9999,0,0.0,Churned
CUS0000011,Bronze,Midwest,9999,0,0.0,Churned
CUS0000012,Gold,South,9999,0,0.0,Churned
CUS0000013,Silver,Midwest,297,1,48.55,Champions
CUS0000014,Gold,South,9999,0,0.0,Churned
CUS0000015,Bronze,South,9999,0,0.0,Churned
CUS0000016,Bronze,Midwest,9999,0,0.0,Churned
CUS0000017,Silver,West,9999,0,0.0,Churned
CUS0000018,Silver,Midwest,9999,0,0.0,Churned
CUS0000019,Silver,West,9999,0,0.0,Churned
CUS0000020,Bronze,West,9999,0,0.0,Churned
CUS0000021,Gold,Midwest,9999,0,0.0,Churned
CUS0000022,Gold,Northeast,9999,0,0.0,Churned
CUS0000023,Bronze,Midwest,9999,0,0.0,Churned
CUS0000024,Bronze,West,9999,0,0.0,Churned
CUS0000025,Gold,Northeast,9999,0,0.0,Churned
CUS0000026,Gold,West,9999,0,0.0,Churned
CUS0000027,Silver,South,306,1,41.17,Champions
CUS0000028,Bronze,West,9999,0,0.0,Churned
CUS0000029,Platinum,South,9999,0,0.0,Churned
CUS0000030,Silver,South,9999,0,0.0,Churned
CUS0000031,Silver,Northeast,9999,0,0.0,Churned
CUS0000032,Platinum,South,9999,0,0.0,Churned
CUS0000033,Silver,South,9999,0,0.0,Churned
CUS0000034,Platinum,South,9999,0,0.0,Churned
CUS0000035,Bronze,West,9999,0,0.0,Churned
CUS0000036,Silver,South,9999,0,0.0,Churned
CUS0000037,Bronze,South,9999,0,0.0,Churned
CUS0000038,Silver,South,9999,0,0.0,Churned
CUS0000039,Platinum,South,461,1,7.9,Champions
CUS0000040,Bronze,West,9999,0,0.0,Churned
CUS0000041,Bronze,South,9999,0,0.0,Churned
CUS0000042,Bronze,Midwest,9999,0,0.0,Churned
CUS0000043,Bronze,South,107,1,9.05,Champions
CUS0000044,Gold,West,9999,0,0.0,Churned
CUS0000045,Bronze,Midwest,9999,0,0.0,Churned
CUS0000046,Silver,West,9999,0,0.0,Churned
CUS0000047,Gold,West,9999,0,0.0,Churned
CUS0000048,Bronze,Midwest,9999,0,0.0,Churned
CUS0000049,Bronze,West,9999,0,0.0,Churned
CUS0000050,Silver,South,103,1,10.04,Champions
CUS0000051,Silver,West,9999,0,0.0,Churned
CUS0000052,Bronze,South,9999,0,0.0,Churned
CUS0000053,Silver,South,9999,0,0.0,Churned
CUS0000054,Silver,Midwest,9999,0,0.0,Churned
CUS0000055,Gold,Midwest,9999,0,0.0,Churned
